                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                0.80196,                0.61453,                 1.0992,                0.88977,                0.85814,                0.91109,                0.76212,                0.80073,                 0.5324,                 1.0906,                0.00538,                0.00538,                0.00538
                    142,                0.80525,                0.61548,                 1.1031,                0.89691,                0.84979,                0.91146,                0.76366,                0.79755,                0.53025,                  1.089,               0.005347,               0.005347,               0.005347
                    143,                0.80956,                0.62931,                 1.1075,                0.89562,                0.85045,                0.91142,                 0.7628,                0.79592,                0.52937,                 1.0881,               0.005314,               0.005314,               0.005314
                    144,                0.79415,                0.60569,                 1.0991,                 0.9005,                0.84904,                0.91211,                0.76458,                0.79337,                0.52794,                 1.0863,               0.005281,               0.005281,               0.005281
                    145,                0.79801,                0.60541,                 1.0962,                0.89716,                0.85062,                0.91209,                0.76454,                 0.7923,                 0.5269,                 1.0862,               0.005248,               0.005248,               0.005248
                    146,                0.79124,                 0.5994,                 1.0954,                0.89686,                0.85137,                0.91261,                0.76382,                0.79014,                0.52578,                 1.0849,               0.005215,               0.005215,               0.005215
                    147,                0.79016,                0.60061,                 1.0926,                0.90373,                0.84866,                0.91166,                0.76673,                0.78657,                0.52386,                  1.082,               0.005182,               0.005182,               0.005182
                    148,                0.78729,                0.59991,                 1.0907,                0.90659,                0.85036,                0.91258,                0.76868,                0.78614,                0.52254,                 1.0829,               0.005149,               0.005149,               0.005149
                    149,                0.78494,                0.59889,                 1.0937,                0.90536,                 0.8518,                 0.9137,                0.76871,                0.78496,                0.52144,                 1.0823,               0.005116,               0.005116,               0.005116
                    150,                0.78069,                0.59678,                  1.089,                0.90206,                0.85536,                0.91309,                0.76985,                0.78242,                0.52108,                 1.0812,               0.005083,               0.005083,               0.005083
                    151,                0.77396,                0.58738,                 1.0812,                0.90976,                0.85239,                0.91443,                0.77125,                0.78051,                0.52068,                 1.0801,                0.00505,                0.00505,                0.00505
                    152,                0.77347,                0.59241,                 1.0837,                 0.9108,                0.85166,                 0.9158,                0.77156,                0.77805,                  0.521,                 1.0789,               0.005017,               0.005017,               0.005017
